Designator,Mid X,Mid Y,Rotation,Layer
C1,146.25,-111.8,0.0,bottom
C10,146.25,-113.8,0.0,bottom
C12,153.05,-104.2,90.0,top
C13,157.6625,-111.93,0.0,top
C14,154.0,-104.2,90.0,top
C15,150.2,-118.65,180.0,top
C16,153.38,-118.905,270.0,top
C17,157.82,-114.5,0.0,top
C18,146.45,-110.75,270.0,top
C19,151.55,-110.7625,270.0,top
C2,146.25,-109.8,0.0,bottom
C20,160.3,-117.62,270.0,top
C21,160.31,-119.5,270.0,top
C22,150.1375,-113.75,0.0,top
C23,151.975,-113.75,180.0,top
C24,163.38,-113.35,0.0,top
C25,161.5925,-112.3,270.0,top
C3,146.25,-107.8,0.0,bottom
C4,146.25,-105.8,0.0,bottom
C5,146.25,-103.8,0.0,bottom
C6,142.85,-115.8,180.0,bottom
C7,142.85,-113.8,180.0,bottom
C8,142.85,-117.8,180.0,bottom
C9,146.25,-115.8,0.0,bottom
D1,158.2,-113.3,0.0,top
D2,162.05,-117.35,0.0,top
D3,162.05,-118.8,0.0,top
D4,147.8675,-113.4,0.0,top
J13,153.25,-123.3,180.0,top
Q1,165.465,-106.719148,0.0,bottom
Q2,165.465,-114.469148,0.0,bottom
Q3,165.465,-122.219148,0.0,bottom
Q4,171.855,-106.719148,90.0,bottom
Q5,171.865,-114.469148,90.0,bottom
Q6,171.865,-122.219148,90.0,bottom
R1,155.4,-104.65,0.0,top
R10,161.9,-108.5,90.0,top
R11,160.0,-113.95,270.0,top
R12,163.8,-117.2,90.0,top
R13,163.8,-119.55,270.0,top
R14,161.45,-113.8,0.0,top
R15,165.2,-117.7,0.0,top
R16,165.25,-119.1,0.0,top
R17,169.0,-111.0,90.0,top
R18,168.7,-119.2,90.0,top
R19,167.7,-125.2,0.0,top
R20,147.8,-108.55,90.0,top
R21,167.25,-108.325,90.0,top
R22,161.5925,-110.4,270.0,top
R23,146.45,-112.65,90.0,top
R24,146.85,-108.55,270.0,top
R25,150.95,-120.15,0.0,top
R3,149.25,-109.0,0.0,top
R5,168.05,-111.0,90.0,top
R6,167.8,-116.4,0.0,top
R7,167.7,-124.1,0.0,top
R8,159.9,-108.5,90.0,top
R9,160.9,-108.5,90.0,top
SW1,145.275,-107.875,270.0,top
U1,149.0,-111.1875,180.0,top
U2,156.48,-118.03,0.0,top
U3,155.2625,-108.3,270.0,top
U4,151.0625,-115.925,180.0,top
U5,147.1,-116.95,90.0,top
U6,164.18,-111.15,0.0,top
